date,details_link,hood,lat,lon,misc,price,title
Jun  3,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7122416303.html,,-73.894000,40.670500,,$1660,Immediate Availability for this 2br
Jun  3,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7120004873.html,,-73.894000,40.670500,,$1660,Immediate Availability for this 2br
Jun  3,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7122170505.html,,-73.894000,40.670500,,$1660,Immediate Availability for this 2br
Jun  3,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7120004786.html,,-73.894000,40.670500,,$1660,Immediate Availability for this 2br
Jun  3,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7120004805.html,,-73.894000,40.670500,,$1660,Immediate Availability for this 2br
Jun  3,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7122169790.html,,-73.894000,40.670500,,$1660,Immediate Availability for this 2br
Jun  3,https://newyork.craigslist.org/que/reo/d/jamaica-spacious-studio-1-block-off/7135094508.html, (FOREST HILLS),-73.894000,40.670500,,$1495,SPACIOUS STUDIO - 1 BLOCK OFF QUEENS BLVD
Jun  3,https://newyork.craigslist.org/brk/reo/d/brooklyn-bedsty-spacious-ss-appliances/7135094358.html, (Bedsty),-73.894000,40.670500,,$2100,"bedsty, spacious, SS appliances, easy commute manhattan, no agent fees"
Jun  3,https://newyork.craigslist.org/que/reo/d/flushing-2br-garden-apartment-prime/7135094301.html, (KEW GARDEN HILLS),-73.894000,40.670500,,$1950,2BR GARDEN APARTMENT - PRIME LOCATION
Jun  3,https://newyork.craigslist.org/brk/reb/d/detach-renovated-big-2-family-garage/7135094189.html, (By a beautiful park in Queens),-73.894000,40.670500,,$959000,Detach renovated BIG 2 family +Garage
Jun  3,https://newyork.craigslist.org/que/reo/d/bellerose-mixed-use-building-with-4/7135091224.html, (bellerose),-73.894000,40.670500,,$1250000,Mixed Use Building! with 4 bedroom 2 apartments
Jun  3,https://newyork.craigslist.org/que/reb/d/springfield-gardens-detach-big-2-family/7135093667.html, (By a beautiful park),-73.894000,40.670500,,$959000,Detach BIG 2 family house on 40/100 lot
Jun  3,https://newyork.craigslist.org/que/reb/d/rego-park-renovated-brick-house-parking/7130056340.html," (Rego Park, walk to subway)",-73.894000,40.670500,,$959000,Renovated Brick house +Parking
Jun  3,https://newyork.craigslist.org/wch/reo/d/white-plains-stunning-white-plains-home/7126355277.html, (White Plains),-73.894000,40.670500,,$7500,Stunning White Plains Home
Jun  3,https://newyork.craigslist.org/jsy/reb/d/union-city-rental-512-4th-st-unit-2-3br/7128483305.html, (Union City),-73.894000,40.670500,,$2880,"Rental: 512 4th St., Unit 2 - 3BR/2Ba"
Jun  3,https://newyork.craigslist.org/jsy/reb/d/union-city-rental-512-4th-st-unit-1-2br/7128476576.html, (Union City),-73.894000,40.670500,,$1900,"Rental: 512 4th St., Unit 1 - 2BR/1Ba"
Jun  3,https://newyork.craigslist.org/jsy/reb/d/jersey-city-2600-kennedy-blvd-2-bed-25/7120610451.html," (Jersey City, West Side)",-73.894000,40.670500,,$669000,"2600 Kennedy Blvd,  2 Bed 2.5 Bath CONDO - Price Improvement!!"
Jun  3,https://newyork.craigslist.org/jsy/reb/d/jersey-city-rental-2615-kennedy-blvd/7122782749.html, (Jersey City - Journal Square),-73.894000,40.670500,,$1750,"RENTAL: 2615 Kennedy BLVD, Unit B2 2BR/1Bath"
Jun  3,https://newyork.craigslist.org/jsy/reb/d/jersey-city-rental-72-madison-ave-4br/7123919796.html, (Jersey City Heights),-73.894000,40.670500,,$3995,"RENTAL: 72 Madison Ave., 4BR 3Bath $3,995"
Jun  3,https://newyork.craigslist.org/jsy/reb/d/jersey-city-2615-kennedy-blvd-b2-2bed/7123919255.html, (Jersey City - Journal Square),-73.894000,40.670500,,$189000,2615 Kennedy Blvd. #B2 - 2Bed 1Bath Garden Apt - PRICE IMPROVEMENT!!!
Jun  3,https://newyork.craigslist.org/jsy/reb/d/jersey-city-25-duncan-ave-bed-2bath/7127393144.html, (Jersey City - Journal Square),-73.894000,40.670500,,$499000,25 Duncan Ave. # 401 - 2bed/2bath condo!!!
Jun  3,https://newyork.craigslist.org/jsy/reb/d/jersey-city-101-kensington-ave-unit-c1/7135092589.html, (Jersey City - Journal Square),-73.894000,40.670500,,$295000,"101 Kensington Ave., unit C1, 2 bed/1 bath CONDO"
Jun  3,https://newyork.craigslist.org/jsy/reb/d/weehawken-219-dodd-st-1-family-4br-25/7127379223.html, (Weehawken),-73.894000,40.670500,,$849000,219 Dodd St. 1 Family - 4BR/2.5 Baths
Jun  3,https://newyork.craigslist.org/brk/reb/d/renovated-huge-brick-2-family-video/7133422543.html, (close to Subway and a beautiful park),-73.894000,40.670500,,$995000,Renovated HUGE Brick 2 family (VIDEO)
Jun  3,https://newyork.craigslist.org/jsy/reb/d/jersey-city-83-bright-st-4b-penthouse/7127369402.html, (Jersey City - Downtown),-73.894000,40.670500,,$1395000,"83 Bright St., 4B Penthouse 2BR/2Bath"
Jun  3,https://newyork.craigslist.org/jsy/reb/d/union-city-rental-512-4th-st-unit-3-3br/7128485945.html, (Union City),-73.894000,40.670500,,$2800,"Rental: 512 4th St., Unit 3 - 3BR/2Ba"
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-bank-reo-sale-cash-offers/7130158246.html, (east flatbush),-73.894000,40.670500,,$551800,bank reo sale! cash offers! occupied
Jun  3,https://newyork.craigslist.org/que/reo/d/california-city-vacant-land-for-sale-by/7121652581.html, (California City),-73.978100,40.744300,,$9995,Vacant land for sale by owner
Jun  3,https://newyork.craigslist.org/lgi/reo/d/get-moving/7122139666.html,,-73.978100,40.744300,,$1200,Get moving
Jun  3,https://newyork.craigslist.org/lgi/reo/d/new-york-city-good-bad-or-no-credit-no/7122135654.html,,-73.978100,40.744300,,$1557,"Good, bad or no credit.  No problem.  300+ NEW Apartments. "
Jun  3,https://newyork.craigslist.org/lgi/reo/d/your-studio-is-ready-west-149th-st/7129511610.html,,-73.978100,40.744300,,$1200,Your studio is ready West 149th st
Jun  3,https://newyork.craigslist.org/brx/reo/d/glen-lyon-large-building/7133699880.html, (Glen Lyon PA),-73.978100,40.744300,,$35000,Large building
Jun  3,https://newyork.craigslist.org/lgi/reo/d/your-studio-is-ready-west-149th-st/7129410198.html,,-73.978100,40.744300,,$1200,Your studio is ready West 149th st
Jun  3,https://newyork.craigslist.org/que/reo/d/california-city-vacant-land-for-sale-by/7133795994.html, (California City),-117.885400,35.187100,,$9995,Vacant land for sale by owner
Jun  3,https://newyork.craigslist.org/lgi/reb/d/glen-head-bank-reo-sale-cash-offers/7130169890.html, (brookville),-117.885400,35.187100,,$3500000,bank reo sale! cash offers! vacant
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-renovated-brick-3-family-video/7118618463.html, (walk to A & C subway),-117.885400,35.187100,,$1589000,Renovated Brick 3 family (VIDEO)
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-bank-reo-sale-cash-offers/7130180326.html, (canarsie),-117.885400,35.187100,,$600000,bank reo sale! cash offers!
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-bank-reo-sale-cash-offers/7131694970.html, (highland park),-117.885400,35.187100,,$635000,bank reo sale! cash offers!
Jun  3,https://newyork.craigslist.org/que/reb/d/middle-village-bank-reo-sale-cash-offers/7130182462.html, (middle village),-117.885400,35.187100,,$599900,bank reo sale! cash offers!
Jun  3,https://newyork.craigslist.org/que/reb/d/ozone-park-bank-reo-sale-cash-offers/7130183418.html, (ozone park),-117.885400,35.187100,,$533000,bank reo sale! cash offers!
Jun  3,https://newyork.craigslist.org/que/reb/d/jamaica-bank-reo-sale-cash-offers/7130173093.html, (jamaica),-117.885400,35.187100,,$426900,bank reo sale! cash offers!
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-4-story-2-family-off-nostrand/7128481033.html," ($8,850 income)",-117.885400,35.187100,,$1595000,4 story 2 family off Nostrand Ave
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-updated-brick-2-family-with/7128481318.html," (Beautiful block, close to Subway)",-117.885400,35.187100,,$1599000,Updated Brick 2 family with Brooklyn Charm
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-bank-reo-sale-cash-offers/7131696122.html, (midwood),-117.885400,35.187100,,$843700,bank reo sale! cash offers! vacant
Jun  3,https://newyork.craigslist.org/brk/reb/d/townhouse-next-to-subway/7130053457.html, (Park Slope),-117.885400,35.187100,,$1695000,Townhouse next to Subway
Jun  3,https://newyork.craigslist.org/que/reb/d/jamaica-bank-reo-sale-cash-offers-vacant/7131696360.html, (jamaica),-74.032300,40.767400,,$319900,bank reo sale! cash offers! vacant
Jun  3,https://newyork.craigslist.org/que/reb/d/jamaica-bank-reo-sale-cash-offers-vacant/7131699743.html, (jamaica),-74.032300,40.767400,,$319900,bank reo sale! cash offers! vacant
Jun  3,https://newyork.craigslist.org/que/reb/d/jamaica-bank-reo-sale-cash-offers/7130162453.html, (jamaica),-74.032300,40.767400,,$426900,bank reo sale! cash offers!
Jun  3,https://newyork.craigslist.org/que/reb/d/jamaica-bank-reo-sale-cash-offers/7131700125.html, (jamaica),-74.032300,40.767400,,$426900,bank reo sale! cash offers!
Jun  3,https://newyork.craigslist.org/brk/reo/d/immediate-availability-for-this-2br/7135062070.html,,-74.032300,40.767400,,$1660,Immediate Availability for this 2br
Jun  3,https://newyork.craigslist.org/jsy/reb/d/washingtonville-relax-enjoy-entertain/7135088861.html, (Hamptonburgh),-74.032300,40.767400,,$449900,"Relax, Enjoy, Entertain Friends"
Jun  3,https://newyork.craigslist.org/brk/reb/d/brooklyn-bank-reo-sale-cash-offers/7131702035.html, (stuyvesant heights),-74.032300,40.767400,,$1899000,bank reo sale! cash offers!
Jun  3,https://newyork.craigslist.org/que/reo/d/floral-park-400-square-feet-of-unique/7132807454.html, (Bellerose),-74.032300,40.767400,,$900,"400 square feet of unique ""split-level"" office space available for ren"
Jun  3,https://newyork.craigslist.org/lgi/reo/d/brightwaters-we-buy-3-5-properties/7135065643.html, (suffolk county),-74.032300,40.767400,,$0,We buy 3-5 properties every month and are always looking for good deal
Jun  3,https://newyork.craigslist.org/lgi/reb/d/valley-stream-bank-reo-sale-cash-offers/7131697226.html, (valley stream),-74.032300,40.767400,,$485050,bank reo sale! cash offers! occupied
